Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,ZFP Rate,SVD K,FFT Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,1,,,1.034e-05,5.34e-06,9.19897097550094e-06,2744,108,0.0115786263395946,0.0997494986604054,0.111328125
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,2,,,6.76e-06,4.94e-06,9.06353122288918e-07,2744,172,0.00494062265327735,0.0932039085967226,0.09814453125
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,3,,,9.9e-06,7.18e-06,9.62963089363659e-08,2744,236,0.000872545535405445,0.0997494986604054,0.098876953125
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,4,,,7.96e-06,4.12e-06,1.59070808287364e-08,2744,300,0.000584292087961735,0.0973847630878195,0.0979690551757812
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,5,,,1.05e-05,4.02e-06,4.79241062414103e-09,2744,364,0.00025241342585236,0.0973847630878195,0.0976371765136719
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,6,,,1.24e-05,4.8e-06,1.47831114335915e-09,2744,428,0.0001965857712002,0.0891207360061435,0.0893173217773438
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,7,,,1.314e-05,7.68e-06,4.10153060765032e-10,2744,492,8.44967048627271e-05,0.0963558185417193,0.096440315246582
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,8,,,1.358e-05,1.102e-05,5.77307818559934e-11,2744,556,2.73216087359196e-05,0.0963558185417193,0.0963284969329834
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,9,,,1.128e-05,6.42e-06,1.63496201005809e-11,2744,620,2.87959028880125e-05,0.0997494986604054,0.0997782945632935
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,10,,,1.204e-05,1.994e-05,4.8845969857102e-12,2744,684,1.22882095546922e-05,0.0891207360061435,0.0891330242156982
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,11,,,1.6e-05,5.816e-05,1.01271688971144e-12,2744,748,5.48303620023782e-06,0.0997494986604054,0.0997549816966057
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,12,,,1.852e-05,9.06e-06,2.66242762858368e-13,2744,812,2.52109679460544e-06,0.0841470984807897,0.0841445773839951
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,13,,,1.672e-05,9.52e-06,7.34994547987987e-14,2744,876,1.04435280962045e-06,0.0997494986604054,0.0997505430132151
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,14,,,1.702e-05,9.26e-06,2.67846968876605e-14,2744,940,8.18040725727998e-07,0.0891207360061435,0.0891215540468693
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,15,,,1.71e-05,9.92e-06,4.99654547336931e-15,2744,1004,3.58509075190638e-07,0.098544972998846,0.0985453315079212
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,16,,,1.842e-05,9.84e-06,1.50364156062241e-15,2744,1068,1.90871011759852e-07,0.098544972998846,0.0985451638698578
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,17,,,1.618e-05,2.034e-05,3.09086831996818e-16,2744,1132,9.51022754436259e-08,0.0997494986604054,0.0997495937626809
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,18,,,1.91e-05,1.882e-05,6.62901825495317e-17,2744,1196,4.88748761878766e-08,0.0963558185417193,0.0963557696668431
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,19,,,1.37e-05,8.54e-06,2.02171132334043e-17,2744,1260,2.32345974543469e-08,0.0891207360061435,0.0891207127715461
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,20,,,1.362e-05,9.94e-06,6.54963586133002e-18,2744,1324,1.07877803495748e-08,0.0891207360061435,0.0891207467939239
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,21,,,1.406e-05,1.094e-05,1.31991595744001e-18,2744,1388,4.47787369683983e-09,0.0783326909627483,0.078332695440622
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,22,,,1.686e-05,1.47e-05,3.23187272037301e-19,2744,1452,2.86014217865116e-09,0.0841470984807897,0.0841471013409318
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,23,,,1.332e-05,9.62e-06,9.25147850546184e-20,2744,1516,1.19350082594671e-09,0.0932039085967226,0.0932039074032218
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,24,,,1.488e-05,1.042e-05,1.91923627334491e-20,2744,1580,5.87983481348253e-10,0.0963558185417193,0.0963558179537358
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,25,,,1.36e-05,8.68e-06,6.87822354553372e-21,2744,1644,5.05415362339612e-10,0.0891207360061435,0.0891207355007282
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,26,,,1.772e-05,1.278e-05,1.29054112627513e-21,2744,1708,2.24365359624557e-10,0.0997494986604054,0.0997494984360401
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,27,,,1.606e-05,1.434e-05,3.17781807736397e-22,2744,1772,8.68615873672596e-11,0.0963558185417193,0.0963558186285809
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,28,,,1.784e-05,1.206e-05,6.32733678434606e-23,2744,1836,5.82120462944147e-11,0.0997494986604054,0.0997494986021934
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,29,,,2.696e-05,1.47e-05,2.57495713432712e-23,2744,1900,2.57705939921138e-11,0.0891207360061435,0.089120735980373
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,30,,,2.174e-05,1.46e-05,5.07286210980126e-24,2744,1964,1.13765802334242e-11,0.0891207360061435,0.0891207360175201
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,31,,,2.302e-05,1.474e-05,1.65003742651924e-24,2744,2028,5.68999014571858e-12,0.098544972998846,0.098544973004536
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,32,,,2.456e-05,1.658e-05,3.18294956003754e-25,2744,2092,2.33324470855223e-12,0.0973847630878195,0.0973847630854863
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,33,,,2.362e-05,1.442e-05,6.35864326983151e-26,2744,2156,1.42025280425173e-12,0.0997494986604054,0.0997494986618257
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,34,,,2.592e-05,1.618e-05,1.70548517364648e-26,2744,2220,5.42579869922122e-13,0.0891207360061435,0.0891207360066861
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,35,,,2.592e-05,1.544e-05,7.20176268417071e-27,2744,2284,4.73496242214821e-13,0.0891207360061435,0.0891207360056701
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,36,,,2.636e-05,1.636e-05,1.32894531183092e-27,2744,2348,1.35350064489614e-13,0.0891207360061435,0.0891207360062789
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,37,,,2.58e-05,1.63e-05,2.9451027609793e-28,2744,2412,7.72715225139109e-14,0.0973847630878195,0.0973847630878968
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,38,,,2.554e-05,1.654e-05,7.68317860063816e-29,2744,2476,4.1508463333173e-14,0.0891207360061435,0.089120736006102
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,39,,,2.58e-05,1.67e-05,1.97539699310466e-29,2744,2540,2.06501482580279e-14,0.0963558185417193,0.0963558185416987
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,40,,,2.61e-05,1.68e-05,8.61985071245338e-30,2744,2604,1.01307850997046e-14,0.0963558185417193,0.0963558185417092
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,41,,,2.662e-05,2.008e-05,1.22692197630789e-30,2744,2668,4.98212582300539e-15,0.0783326909627483,0.0783326909627533
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.1,42,,,2.74e-05,1.734e-05,4.07522261374445e-31,2744,2732,3.88578058618805e-15,0.0891207360061435,0.0891207360061474
SVD,7,7,7,1,0.1,0,0.1,0.1,0.1,,1,,0.0007764,9.368e-05,4.46200525303564e-05,2744,488,0.023689520490093,0,0.023689520490093
SVD,7,7,7,1,0.1,0,0.1,0.1,0.1,,2,,0.00061218,9.746e-05,1.42878874944958e-32,2744,944,1.80411241501588e-16,0.0932039085967226,0.0932039085967225
SVD,7,7,7,1,0.1,0,0.1,0.1,0.1,,3,,0.00095274,0.00015206,1.42764058539595e-32,2744,1400,1.80411241501588e-16,0.0932039085967226,0.0932039085967225
SVD,7,7,7,1,0.1,0,0.1,0.1,0.1,,4,,0.00094526,0.00017608,1.42440607491503e-32,2744,1856,1.94289029309402e-16,0.0932039085967226,0.0932039085967224
SVD,7,7,7,1,0.1,0,0.1,0.1,0.1,,5,,0.00100186,0.00020684,1.42762645242187e-32,2744,2312,1.94289029309402e-16,0.0932039085967226,0.0932039085967224
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,1,,,7.36e-06,6.18e-06,0.000121888356009697,2744,108,0.0434561829213982,0.0239249329213982,-0.01953125
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,2,,,8.94e-06,6.34e-06,3.04830395227511e-06,2744,172,0.00724358368011506,0.0675463180551151,0.060302734375
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,3,,,9.12e-06,6.96e-06,5.99281381781282e-07,2744,236,0.002860976725421,0.004158066243329,0.00701904296875
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,4,,,9.92e-06,5.82e-06,1.15756814568067e-07,2744,300,0.00154338140258314,0.0598472144103956,0.0583038330078125
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,5,,,1.196e-05,8.08e-06,2.84346894810149e-08,2744,364,0.000830168383466404,0.0141120008059867,0.0149421691894531
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,6,,,8.2e-06,3.94e-06,8.39287686509136e-09,2744,428,0.000381515950360299,0.00415806624332905,0.00377655029296875
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,7,,,8.52e-06,5.1e-06,1.93171457850518e-09,2744,492,0.000231468795979378,-0.035078322768962,-0.0353097915649414
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,8,,,9.66e-06,1.074e-05,5.94763856376502e-10,2744,556,0.000118958135515559,0.0515501371821464,0.0514311790466309
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,9,,,8.8e-06,5.36e-06,9.66095282559153e-11,2744,620,4.85877999881063e-05,0.0675463180551151,0.067497730255127
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,10,,,8.62e-06,4.82e-06,3.16976759759185e-11,2744,684,3.07623241752319e-05,-0.0442520443294853,-0.0442212820053101
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,11,,,1.086e-05,6.02e-06,6.78671147238786e-12,2744,748,1.16125677954715e-05,-0.0255541102026832,-0.0255424976348877
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,12,,,1.042e-05,6.94e-06,1.98989388122272e-12,2744,812,8.1411429770778e-06,0.0141120008059867,0.0141038596630096
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,13,,,9.94e-06,5.32e-06,5.46168823358971e-13,2744,876,3.33569440234827e-06,0.0515501371821464,0.0515534728765488
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,14,,,1.102e-05,5.62e-06,1.77839432183887e-13,2744,940,2.02912183792925e-06,0.0675463180551151,0.0675442889332771
ZFP,7,7,7,1,0.1,0,0.1,0.1,0.4,15,,,1.056e-05,6.78e-06,3.69202203370974e-14,2744,1004,1.0452862596504e-06,0.00415806624332905,0.0041591115295887
