Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,ZFP Rate,SVD K,FFT Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,1,,,6.46e-06,6.18e-06,0.000378953467185714,2352,108,0.0722342687237691,0.0644217687237691,-0.0078125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,2,,,1.642e-05,9.54e-06,9.9127487161448e-05,2352,172,0.0414621715899523,0.0717356090899523,0.0302734375
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,3,,,7.8e-06,4.82e-06,2.69786252425305e-05,2352,236,0.0229856684122516,0.0783326909627484,0.101318359375
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,4,,,1.396e-05,6.82e-06,1.36215468963879e-05,2352,300,0.0177917377670061,0.0198669330795061,0.0020751953125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,5,,,1.274e-05,6.06e-06,2.75602627485858e-06,2352,364,0.00920530355261604,0.029552020666134,0.03875732421875
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,6,,,1.014e-05,6.34e-06,6.92960495918999e-07,2352,428,0.00494385793611888,0.0198669330795061,0.024810791015625
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,7,,,1.784e-05,8.32e-06,1.75279801578499e-07,2352,492,0.00208366340513715,0.0644217687237691,0.0665054321289062
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,8,,,1.16e-05,7.14e-06,4.73058501486926e-08,2352,556,0.001361857203697,0.0198669330795061,0.0212287902832031
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,9,,,1.204e-05,6.16e-06,1.01477355816046e-08,2352,620,0.00053237727842885,0.0717356090899523,0.0712032318115234
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,10,,,1.17e-05,5.18e-06,2.51286446701725e-09,2352,684,0.000340346754746507,0.0644217687237691,0.0647621154785156
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,11,,,1.482e-05,6.536e-05,7.89811930062165e-10,2352,748,0.000147621602426956,0.00998334166468282,0.00983572006225586
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,12,,,1.874e-05,9.16e-06,1.79968985804526e-10,2352,812,6.61653887797098e-05,0.0644217687237691,0.0644879341125488
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,13,,,1.802e-05,8.24e-06,3.71834164216914e-11,2352,876,2.84973723573972e-05,0.0932039085967226,0.0931754112243652
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,14,,,1.588e-05,1.098e-05,1.07822841730612e-11,2352,940,1.5349618001162e-05,0.0783326909627483,0.0783480405807495
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,15,,,1.376e-05,6.74e-06,2.62013718449835e-12,2352,1004,8.78745202534392e-06,0.0644217687237691,0.0644129812717438
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,16,,,2.036e-05,9.14e-06,7.05912117023369e-13,2352,1068,3.81893034465119e-06,0.0644217687237691,0.0644255876541138
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,17,,,2.314e-05,1.058e-05,1.50854735416465e-13,2352,1132,2.63467624303168e-06,0.0198669330795061,0.0198642984032631
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,18,,,2.594e-05,1.528e-05,4.44101221049714e-14,2352,1196,1.37141461856172e-06,0.0644217687237691,0.0644231401383877
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,19,,,1.382e-05,9.22e-06,1.02261023364953e-14,2352,1260,6.39783288205326e-07,0.0198669330795061,0.0198662932962179
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,20,,,1.428e-05,7.98e-06,2.84185420555328e-15,2352,1324,3.28333334992381e-07,0.0644217687237691,0.0644220970571041
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,21,,,1.46e-05,7.68e-06,5.32814998752478e-16,2352,1388,1.17304516961125e-07,0.0644217687237691,0.0644216514192522
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,22,,,1.588e-05,8.38e-06,1.42090037472885e-16,2352,1452,7.49293398022433e-08,0.0644217687237691,0.0644216937944293
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,23,,,1.362e-05,8.58e-06,3.94131620782753e-17,2352,1516,3.12804010159373e-08,0.0198669330795061,0.0198669017991051
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,24,,,1.496e-05,9.32e-06,9.79891275625979e-18,2352,1580,1.53191837271027e-08,0.00998334166468282,0.00998335698386654
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,25,,,1.506e-05,7.94e-06,2.40970727352471e-18,2352,1644,9.15468298390287e-09,0.0644217687237691,0.0644217595690861
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,26,,,1.522e-05,9.14e-06,5.75271455136552e-19,2352,1708,4.06620107376576e-09,0.0198669330795061,0.0198669371457072
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,27,,,1.554e-05,9.5e-06,1.62848820317387e-19,2352,1772,2.21941084954658e-09,0.0932039085967226,0.0932039063773118
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,28,,,2.346e-05,1.496e-05,3.53165942368218e-20,2352,1836,1.30497515918315e-09,0.0198669330795061,0.0198669343844813
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,29,,,3.098e-05,1.548e-05,8.32908707097528e-21,2352,1900,4.67189592567863e-10,0.0644217687237691,0.0644217682565795
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,30,,,2.442e-05,1.296e-05,2.05373223980885e-21,2352,1964,2.17024204163252e-10,0.00998334166468282,0.00998334188170702
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,31,,,2.428e-05,1.518e-05,6.05692014752685e-22,2352,2028,1.3939646659189e-10,0.0932039085967226,0.0932039084573262
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,32,,,2.408e-05,1.278e-05,1.21937300660675e-22,2352,2092,7.13320097434078e-11,0.0644217687237691,0.0644217686524371
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,33,,,2.398e-05,1.252e-05,2.57265666329007e-23,2352,2156,3.38153671730623e-11,0.0644217687237691,0.0644217686899538
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,34,,,2.616e-05,1.314e-05,8.90952947899097e-24,2352,2220,1.37040934156119e-11,0.0963558185417193,0.0963558185554234
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,35,,,2.584e-05,1.574e-05,2.13925208259864e-24,2352,2284,7.83792475367306e-12,0.0644217687237691,0.0644217687159312
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.1,36,,,2.724e-05,1.482e-05,5.0391730068708e-25,2352,2348,4.28229673943292e-12,0.0963558185417193,0.0963558185460016
SVD,6,7,7,1,0.1,0,0.1,0.1,0.1,,1,,0.00093978,0.00010566,4.1996029425492e-05,2352,432,0.0230375513538996,0,0.0230375513538996
SVD,6,7,7,1,0.1,0,0.1,0.1,0.1,,2,,0.00086906,0.0001141,4.06885454662422e-33,2352,832,1.2490009027033e-16,0.0932039085967226,0.0932039085967228
SVD,6,7,7,1,0.1,0,0.1,0.1,0.1,,3,,0.00051214,9.222e-05,4.12086691249885e-33,2352,1232,1.97758476261356e-16,0.00998334166468282,0.00998334166468262
SVD,6,7,7,1,0.1,0,0.1,0.1,0.1,,4,,0.00052996,0.00010566,4.14508415101866e-33,2352,1632,1.97758476261356e-16,0.00998334166468282,0.00998334166468262
SVD,6,7,7,1,0.1,0,0.1,0.1,0.1,,5,,0.00051456,0.0001155,4.1485018716691e-33,2352,2032,1.96023752785379e-16,0.00998334166468282,0.00998334166468262
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,1,,,4.02e-06,1.78e-06,0.000596715204185314,2352,108,0.116487839410396,0.0598472144103956,-0.056640625
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,2,,,4.38e-06,2.32e-06,0.000165431237720356,2352,172,0.0462957273895797,0.0479425538604203,0.09423828125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,3,,,5.12e-06,2.5e-06,4.62914338786402e-05,2352,236,0.0280855797561435,0.0891207360061435,0.06103515625
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,4,,,5.44e-06,3.64e-06,1.38430785492045e-05,2352,300,0.0167642859807897,0.0841470984807897,0.0673828125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,5,,,5.8e-06,2.6e-06,3.0762224528209e-06,2352,364,0.0085440735463982,0.0239249329213982,0.015380859375
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,6,,,6.04e-06,3.98e-06,1.02851405061717e-06,2352,428,0.0041193116729203,0.0479425538604203,0.0438232421875
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,7,,,6.68e-06,3.44e-06,2.76952722746369e-07,2352,492,0.00221661803187032,0.00998334166468282,0.0077667236328125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,8,,,7.24e-06,3.82e-06,5.56800109982064e-08,2352,556,0.00102009515991688,0.0598472144103956,0.0608673095703125
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,9,,,7.68e-06,3.84e-06,1.83940194575619e-08,2352,620,0.000652860012160583,-0.0255541102026832,-0.0262069702148438
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,10,,,1.246e-05,6.42e-06,3.91469158930311e-09,2352,684,0.000243523309321397,0.0598472144103956,0.0596036911010742
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,11,,,1.186e-05,6.8e-06,9.7064831016986e-10,2352,748,0.000144032029730637,0.042737988023383,0.0425939559936523
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,12,,,8.58e-06,5.2e-06,2.1376057682467e-10,2352,812,8.99683411177826e-05,0.0479425538604203,0.0480325222015381
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,13,,,8.2e-06,4.66e-06,6.19951744123516e-11,2352,876,3.94479949724323e-05,0.0198669330795061,0.0198274850845337
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,14,,,8.78e-06,4.78e-06,1.35422968333657e-11,2352,940,1.55184768724503e-05,0.0598472144103956,0.0598627328872681
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,15,,,9.14e-06,5e-06,3.81411455574087e-12,2352,1004,8.07922991991061e-06,0.0841470984807897,0.0841390192508698
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,16,,,9.32e-06,5.08e-06,8.20894245289487e-13,2352,1068,6.36916389942788e-06,0.0598472144103956,0.059853583574295
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,17,,,9.76e-06,5.62e-06,2.67541308813417e-13,2352,1132,2.35015038960174e-06,0.0644217687237691,0.0644194185733795
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,18,,,1.028e-05,5.88e-06,5.71825765389768e-14,2352,1196,1.09127722340563e-06,0.0717356090899523,0.0717345178127289
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,19,,,1.026e-05,5.72e-06,1.56211157570509e-14,2352,1260,6.2860741730994e-07,0.0198669330795061,0.0198663044720888
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,20,,,1.038e-05,6.04e-06,3.24687637526978e-15,2352,1324,3.31098484242578e-07,0.0141120008059867,0.0141123319044709
ZFP,6,7,7,1,0.1,0,0.1,0.1,0.4,21,,,1.082e-05,6.06e-06,8.52842456354221e-16,2352,1388,1.21700197384944e-07,0.0515501371821464,0.0515502588823438
