Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,Rate,K,Compression Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,1,1,0.1,1.81e-06,1.37e-06,0.00054823800773285,1176,76,0.0761405187237691,0.0644217687237691,-0.01171875
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,2,1,0.1,2.12e-06,1.105e-06,0.000127846871155723,1176,108,0.0449532312762309,0.0644217687237691,0.109375
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,3,1,0.1,2.375e-06,1.655e-06,2.9429404025086e-05,1176,140,0.0232197833353172,0.00998334166468282,0.033203125
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,4,1,0.1,2.68e-06,1.5e-06,1.57178681430918e-05,1176,172,0.0166829796442103,0.0841470984807897,0.100830078125
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,5,1,0.1,2.76e-06,1.565e-06,2.59500611579634e-06,1176,204,0.00579161203549646,0.0564642473395035,0.062255859375
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,6,1,0.1,3.145e-06,1.76e-06,7.83614498845413e-07,1176,236,0.00268414233163494,0.0389418342308651,0.0416259765625
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,7,1,0.1,3.055e-06,1.82e-06,2.50186308314063e-07,1176,268,0.00184119027766466,0.0841470984807897,0.082305908203125
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,8,1,0.1,3.255e-06,1.975e-06,6.27972328813862e-08,1176,300,0.00107815478280682,0.0389418342308651,0.0400199890136719
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,9,1,0.1,3.335e-06,1.96e-06,2.07195057468473e-08,1176,332,0.000436221462959366,0.0479425538604203,0.0475063323974609
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,10,1,0.1,3.855e-06,2.195e-06,5.45445317798628e-09,1176,364,0.000245042211277698,0.0564642473395036,0.0567092895507812
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,11,1,0.1,5.75e-06,2.47e-06,1.33794479761453e-09,1176,396,0.000135395784820136,0.0389418342308651,0.0388064384460449
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,12,1,0.1,4.1e-06,3.285e-06,3.14367777833412e-10,1176,428,8.06114478458797e-05,0.0389418342308651,0.0390224456787109
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,13,1,0.1,4.585e-06,8.02e-06,8.07889601211185e-11,1176,460,2.43301037732985e-05,0.0717356090899523,0.0717599391937256
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,14,1,0.1,5.585e-06,4.3e-06,1.89168492349893e-11,1176,492,1.24019991923213e-05,0.0644217687237691,0.0644341707229614
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,15,1,0.1,6.26e-06,3.73e-06,4.89602654859364e-12,1176,524,6.90273008900621e-06,0.0717356090899523,0.0717287063598633
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,16,1,0.1,9.74e-06,1.338e-05,1.16577825107628e-12,1176,556,2.6719291460163e-06,0.0198669330795061,0.0198642611503601
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,17,1,0.1,6.985e-06,5.915e-06,3.10095065632836e-13,1176,588,2.17940374713788e-06,0.0389418342308651,0.0389396548271179
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,18,1,0.1,7.795e-06,5.825e-06,8.86188574825022e-14,1176,620,9.12762148592983e-07,0.0564642473395036,0.0564651601016521
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,19,1,0.1,9.505e-06,1.096e-05,1.99442652344026e-14,1176,652,5.51234041634707e-07,0.0389418342308651,0.0389423854649067
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,20,1,0.1,8.715e-06,5.83e-06,5.19836578629663e-15,1176,684,2.39283876206364e-07,0.0564642473395036,0.0564640080556273
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,21,1,0.1,9.4e-06,6.91e-06,1.37128551681654e-15,1176,716,1.04909763931627e-07,0.0963558185417193,0.0963559234514832
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,22,1,0.1,1.039e-05,7.575e-06,3.59490476926757e-16,1176,748,6.47690463762007e-08,0.0644217687237691,0.0644218334928155
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,23,1,0.1,8.1e-06,5.905e-06,8.1006260507419e-17,1176,780,3.61976723040058e-08,0.0389418342308651,0.0389417980331928
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,24,1,0.1,9.53e-06,8.085e-06,2.11027332591532e-17,1176,812,1.97980974947498e-08,0.0389418342308651,0.0389418540289626
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,25,1,0.1,8.545e-06,8.57e-06,4.76069758314264e-18,1176,844,7.76322994777701e-09,0.0389418342308651,0.0389418264676351
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,26,1,0.1,8.23e-06,6.525e-06,1.47394447468795e-18,1176,876,5.43583117407209e-09,0.0841470984807897,0.0841471039166208
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,27,1,0.1,8.17e-06,5.875e-06,2.87529655025977e-19,1176,908,1.6322619054987e-09,0.029552020666134,0.0295520190338721
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,28,1,0.1,8.38e-06,6.015e-06,6.09820829633676e-20,1176,940,8.82855663575377e-10,0.0891207360061435,0.0891207351232879
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,29,1,0.1,8.505e-06,7.06e-06,2.44145678585881e-20,1176,972,6.06265322666832e-10,0.0564642473395036,0.0564642479457689
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,30,1,0.1,9.42e-06,7.59e-06,5.69662398742383e-21,1176,1004,2.89911983308855e-10,0.0389418342308651,0.0389418339409531
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,31,1,0.1,1.0975e-05,8.475e-06,1.37525572862936e-21,1176,1036,1.3196383569225e-10,0.0564642473395036,0.0564642474714674
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,32,1,0.1,1.268e-05,8.4e-06,2.9667062884454e-22,1176,1068,6.20495321790315e-11,0.0783326909627484,0.0783326910247979
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,33,1,0.1,1.238e-05,8.785e-06,1.02282366424557e-22,1176,1100,3.78682640800321e-11,0.0389418342308651,0.0389418341929968
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,34,1,0.1,1.2475e-05,8.77e-06,1.71133895381186e-23,1176,1132,1.63677717213151e-11,0.029552020666134,0.0295520206825017
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,35,1,0.1,8.73e-06,7.785e-06,6.09158587720049e-24,1176,1164,9.42729228015082e-12,0.0841470984807897,0.0841470984713624
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,36,1,0.1,9.47e-06,7.32e-06,1.10464352959428e-24,1176,1196,3.73929359698266e-12,0.0564642473395036,0.0564642473432428
ZFP,3,7,7,1,0.1,0,0.1,0.1,0.1,37,1,0.1,1.039e-05,8.845e-06,3.93787096676121e-25,1176,1228,1.86711757166336e-12,0.0841470984807897,0.0841470984789225
