Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,Rate,K,Compression Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,28,1,0.1,2.0365e-05,2.9395e-05,3.75775910172367e-20,4312,2732,1.32013638909356e-09,0.0963558185417193,0.0963558198618557
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,29,1,0.1,1.9675e-05,1.5855e-05,7.95927408557493e-21,4312,2828,4.16088996590958e-10,0.0963558185417193,0.0963558181256303
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,30,1,0.1,1.9805e-05,1.524e-05,2.55410464692256e-21,4312,2924,2.8649566052863e-10,0.0963558185417193,0.096355818828215
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,31,1,0.1,2.0605e-05,1.6735e-05,5.74041680313776e-22,4312,3020,9.71518837600271e-11,0.0644217687237691,0.064421768820921
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,32,1,0.1,2.041e-05,1.6395e-05,1.39334985041186e-22,4312,3116,5.85535508967894e-11,0.0963558185417193,0.0963558186002729
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,33,1,0.1,2.0715e-05,1.79e-05,3.59530292915359e-23,4312,3212,2.40399367079647e-11,0.0963558185417193,0.0963558185176794
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,34,1,0.1,3.459e-05,2.764e-05,8.38932643339525e-24,4312,3308,1.1475889682977e-11,0.0644217687237691,0.0644217687122932
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,35,1,0.1,3.141e-05,2.283e-05,2.34638985799437e-24,4312,3404,1.25007226792206e-11,0.0963558185417193,0.0963558185292186
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,36,1,0.1,2.7125e-05,2.122e-05,5.11412773894689e-25,4312,3500,2.79661016566735e-12,0.0479425538604203,0.0479425538576237
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,37,1,0.1,2.192e-05,1.81e-05,1.4159441225163e-25,4312,3596,2.08771888665638e-12,0.0963558185417193,0.0963558185396316
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,38,1,0.1,2.2675e-05,2.1485e-05,3.56526908415545e-26,4312,3692,1.18610676835829e-12,0.0963558185417193,0.0963558185429054
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,39,1,0.1,3.44e-05,2.51e-05,8.7374492383536e-27,4312,3788,4.39009939512403e-13,0.0644217687237691,0.0644217687242081
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,40,1,0.1,3.3365e-05,2.517e-05,2.38664372757471e-27,4312,3884,2.54851695302705e-13,0.0963558185417193,0.0963558185419742
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,41,1,0.1,2.3775e-05,1.991e-05,5.43310594019865e-28,4312,3980,9.0649709960644e-14,0.0963558185417193,0.0963558185416287
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,42,1,0.1,2.442e-05,2.209e-05,1.32878849395505e-28,4312,4076,5.52335954751015e-14,0.0963558185417193,0.0963558185417746
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,43,1,0.1,2.4445e-05,2.487e-05,3.2123971568827e-29,4312,4172,2.21211937656562e-14,0.0644217687237691,0.064421768723747
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,44,1,0.1,2.4045e-05,2.019e-05,8.0956104323775e-30,4312,4268,1.39749323224692e-14,0.0891207360061435,0.0891207360061575
