Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,ZFP Rate,SVD K,FFT Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,1,,,5.42e-06,7.1e-06,0.000232423600503153,3136,108,0.0522043590899523,0.0717356090899523,0.01953125
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,2,,,6.14e-06,4.1e-06,6.83425111531409e-05,3136,172,0.0331217078557897,0.0841470984807897,0.051025390625
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,3,,,6.56e-06,3.8e-06,2.19270546870033e-05,3136,236,0.0242122638542193,0.0963558185417193,0.0721435546875
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,4,,,6.4e-06,3.84e-06,6.70630257798516e-06,3136,300,0.0135897301467685,0.0891207360061435,0.075531005859375
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,5,,,9.8e-06,7.66e-06,1.44347127653927e-06,3136,364,0.00478721805848521,0.0717356090899523,0.0765228271484375
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,6,,,3.406e-05,1.012e-05,4.42439641550765e-07,3136,428,0.0028804767448443,0.0963558185417193,0.093475341796875
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,7,,,9.24e-06,6.82e-06,1.32723777725241e-07,3136,492,0.00231590154953182,0.0963558185417193,0.0940399169921875
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,8,,,9.42e-06,7.2e-06,3.07738856809883e-08,3136,556,0.00085281184874135,0.0717356090899523,0.0708827972412109
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,9,,,9.7e-06,6.24e-06,7.9485449239349e-09,3136,620,0.000592612059785724,0.0963558185417193,0.0957632064819336
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,10,,,8.14e-06,6.4e-06,1.8903499235096e-09,3136,684,0.000179161909463862,0.0891207360061435,0.0889415740966797
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,11,,,9.74e-06,8.06e-06,4.75579611887073e-10,3136,748,0.000119112761690021,0.0963558185417193,0.0962367057800293
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,12,,,1.292e-05,8.64e-06,1.04867991719855e-10,3136,812,4.47880203780365e-05,0.0479425538604203,0.0479873418807983
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,13,,,1.026e-05,7.22e-06,3.19203839981265e-11,3136,876,3.19111663836247e-05,0.0963558185417193,0.0963239073753357
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,14,,,1.278e-05,8.94e-06,7.58468894499963e-12,3136,940,1.1656542266425e-05,0.0389418342308651,0.0389301776885986
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,15,,,1.05e-05,6.4e-06,1.86166213507324e-12,3136,1004,7.56266899287761e-06,0.0963558185417193,0.0963482558727264
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,16,,,1.378e-05,8.52e-06,4.07355121457025e-13,3136,1068,3.18281988638536e-06,0.0783326909627483,0.0783358737826347
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,17,,,1.542e-05,1.512e-05,1.53572934800919e-13,3136,1132,2.60803289592326e-06,0.0963558185417193,0.0963532105088234
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,18,,,1.294e-05,9.94e-06,2.64985575686563e-14,3136,1196,7.35853756483884e-07,0.0389418342308651,0.0389410983771086
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,19,,,1.646e-05,1.712e-05,8.1820031391326e-15,3136,1260,7.31417908073073e-07,0.0963558185417193,0.0963550871238112
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,20,,,1.232e-05,1.252e-05,1.85839438212898e-15,3136,1324,1.662476646902e-07,0.0841470984807897,0.084146932233125
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,21,,,1.276e-05,1.294e-05,4.90718260530583e-16,3136,1388,1.1627934753955e-07,0.0963558185417193,0.0963557022623718
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,22,,,1.35e-05,1.128e-05,1.10646181668652e-16,3136,1452,4.1625997287964e-08,0.0932039085967226,0.0932038669707254
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,23,,,1.636e-05,8.18e-06,2.67915800971802e-17,3136,1516,1.9188969135886e-08,0.0963558185417193,0.0963557993527502
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,24,,,1.2e-05,9.9e-06,7.67617359282942e-18,3136,1580,2.05086556070988e-08,0.0963558185417193,0.0963558390503749
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,25,,,1.966e-05,1.408e-05,1.98384372277413e-18,3136,1644,5.64461480334622e-09,0.0644217687237691,0.0644217743683839
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,26,,,2.048e-05,1.426e-05,4.2464470132567e-19,3136,1708,3.57022628127979e-09,0.0963558185417193,0.0963558221119456
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,27,,,1.868e-05,1.31e-05,1.27554886071379e-19,3136,1772,1.60023246043028e-09,0.0783326909627483,0.0783326925629808
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,28,,,1.918e-05,1.418e-05,2.82023759854891e-20,3136,1836,1.3019464950581e-09,0.0963558185417193,0.0963558198436658
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,29,,,2.092e-05,1.78e-05,6.54574595993785e-21,3136,1900,2.89500399347498e-10,0.029552020666134,0.0295520209556344
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,30,,,2.362e-05,2.506e-05,1.73718615219559e-21,3136,1964,2.66032029738739e-10,0.0963558185417193,0.0963558188077513
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,31,,,2.656e-05,1.532e-05,4.19238992057152e-22,3136,2028,8.21182150056998e-11,0.0891207360061435,0.0891207360882618
ZFP,8,7,7,1,0.1,0,0.1,0.1,0.1,32,,,1.524e-05,1.322e-05,1.02375955174301e-22,3136,2092,4.41153225061441e-11,0.0963558185417193,0.0963558185858346
